num_rows, num_cols, num_param, iteration, time_A, time_A_transpose
2, 3, 1, 1, 0.003000, 0.002000
2, 3, 1, 2, 0.003000, 0.002000
2, 3, 1, 3, 0.003000, 0.002000
2, 3, 1, 4, 0.003000, 0.002000
2, 3, 1, 5, 0.003000, 0.002000
2, 3, 1, 6, 0.003000, 0.002000
2, 3, 1, 7, 0.003000, 0.002000
2, 3, 1, 8, 0.003000, 0.002000
2, 3, 1, 9, 0.003000, 0.002000
2, 3, 1, 10, 0.003000, 0.002000
2, 3, 1, 11, 0.003000, 0.002000
2, 3, 1, 12, 0.003000, 0.002000
2, 3, 1, 13, 0.003000, 0.002000
2, 3, 1, 14, 0.003000, 0.002000
2, 3, 1, 15, 0.003000, 0.002000
2, 3, 1, 16, 0.003000, 0.002000
2, 3, 1, 17, 0.002000, 0.002000
2, 3, 1, 18, 0.003000, 0.002000
2, 3, 1, 19, 0.003000, 0.002000
2, 3, 1, 20, 0.003000, 0.002000
2, 3, 1, 21, 0.003000, 0.002000
2, 3, 1, 22, 0.003000, 0.002000
2, 3, 1, 23, 0.003000, 0.002000
2, 3, 1, 24, 0.003000, 0.002000
2, 3, 1, 25, 0.003000, 0.002000
2, 3, 1, 26, 0.003000, 0.002000
2, 3, 1, 27, 0.003000, 0.002000
2, 3, 1, 28, 0.003000, 0.002000
2, 3, 1, 29, 0.003000, 0.002000
2, 3, 1, 30, 0.003000, 0.002000
2, 3, 1, 31, 0.003000, 0.002000
2, 3, 1, 32, 0.003000, 0.002000
2, 3, 1, 33, 0.003000, 0.002000
2, 3, 1, 34, 0.003000, 0.002000
2, 3, 1, 35, 0.003000, 0.002000
2, 3, 1, 36, 0.003000, 0.002000
2, 3, 1, 37, 0.003000, 0.002000
2, 3, 1, 38, 0.003000, 0.002000
2, 3, 1, 39, 0.003000, 0.002000
2, 3, 1, 40, 0.003000, 0.002000
2, 3, 1, 41, 0.003000, 0.002000
2, 3, 1, 42, 0.002000, 0.002000
2, 3, 1, 43, 0.003000, 0.002000
2, 3, 1, 44, 0.003000, 0.002000
2, 3, 1, 45, 0.003000, 0.002000
2, 3, 1, 46, 0.003000, 0.001000
2, 3, 1, 47, 0.003000, 0.002000
2, 3, 1, 48, 0.003000, 0.002000
2, 3, 1, 49, 0.003000, 0.002000
2, 3, 1, 50, 0.003000, 0.002000
2, 3, 1, 51, 0.003000, 0.002000
2, 3, 1, 52, 0.003000, 0.002000
2, 3, 1, 53, 0.003000, 0.002000
2, 3, 1, 54, 0.002000, 0.002000
2, 3, 1, 55, 0.003000, 0.002000
2, 3, 1, 56, 0.002000, 0.001000
2, 3, 1, 57, 0.003000, 0.002000
2, 3, 1, 58, 0.003000, 0.002000
2, 3, 1, 59, 0.003000, 0.002000
2, 3, 1, 60, 0.003000, 0.002000
2, 3, 1, 61, 0.003000, 0.002000
2, 3, 1, 62, 0.003000, 0.002000
2, 3, 1, 63, 0.003000, 0.002000
2, 3, 1, 64, 0.003000, 0.002000
2, 3, 1, 65, 0.002000, 0.002000
2, 3, 1, 66, 0.003000, 0.002000
2, 3, 1, 67, 0.002000, 0.001000
2, 3, 1, 68, 0.003000, 0.001000
2, 3, 1, 69, 0.003000, 0.002000
2, 3, 1, 70, 0.003000, 0.002000
2, 3, 1, 71, 0.003000, 0.002000
2, 3, 1, 72, 0.003000, 0.002000
2, 3, 1, 73, 0.003000, 0.002000
2, 3, 1, 74, 0.005000, 0.005000
2, 3, 1, 75, 0.003000, 0.002000
2, 3, 1, 76, 0.003000, 0.002000
2, 3, 1, 77, 0.003000, 0.002000
2, 3, 1, 78, 0.003000, 0.002000
2, 3, 1, 79, 0.003000, 0.002000
2, 3, 1, 80, 0.003000, 0.002000
2, 3, 1, 81, 0.003000, 0.002000
2, 3, 1, 82, 0.003000, 0.002000
2, 3, 1, 83, 0.003000, 0.002000
2, 3, 1, 84, 0.003000, 0.002000
2, 3, 1, 85, 0.003000, 0.002000
2, 3, 1, 86, 0.003000, 0.002000
2, 3, 1, 87, 0.003000, 0.002000
2, 3, 1, 88, 0.003000, 0.002000
2, 3, 1, 89, 0.003000, 0.002000
2, 3, 1, 90, 0.003000, 0.002000
2, 3, 1, 91, 0.003000, 0.002000
2, 3, 1, 92, 0.003000, 0.002000
2, 3, 1, 93, 0.003000, 0.002000
2, 3, 1, 94, 0.003000, 0.002000
2, 3, 1, 95, 0.003000, 0.002000
2, 3, 1, 96, 0.003000, 0.002000
2, 3, 1, 97, 0.003000, 0.002000
2, 3, 1, 98, 0.003000, 0.002000
2, 3, 1, 99, 0.003000, 0.002000
